content_id,title,genre,release_year,content_type,average_rating
C0101,Title_1,Crime,2015,Movie,3.5
C0102,Title_2,Horror,2017,Movie,2.8
C0103,Title_3,Crime,2016,Movie,3.0
C0104,Title_4,Action,2016,Movie,4.2
C0105,Title_5,Crime,2015,Series,3.0
C0106,Title_6,Comedy,2022,Series,3.8
C0107,Title_7,Thriller,2017,Series,4.3
C0108,Title_8,Thriller,2017,Series,2.8
C0109,Title_9,Sci-Fi,2020,Movie,3.9
C0110,Title_10,Drama,2022,Movie,3.1
C0111,Title_11,Drama,2023,Movie,4.9
C0112,Title_12,Action,2023,Movie,3.7
C0113,Title_13,Comedy,2018,Movie,4.5
C0114,Title_14,Sci-Fi,2019,Series,3.9
C0115,Title_15,Family,2016,Movie,2.6
C0116,Title_16,Horror,2023,Series,4.1
C0117,Title_17,Drama,2022,Series,4.9
C0118,Title_18,Thriller,2017,Series,4.0
C0119,Title_19,Crime,2023,Series,4.5
C0120,Title_20,Crime,2017,Movie,4.7
C0121,Title_21,Sci-Fi,2023,Series,3.1
C0122,Title_22,Comedy,2016,Series,3.0
C0123,Title_23,Comedy,2023,Series,4.0
C0124,Title_24,Romance,2022,Movie,3.5
C0125,Title_25,Documentary,2023,Movie,4.6
C0126,Title_26,Drama,2019,Movie,4.8
C0127,Title_27,Comedy,2016,Series,3.4
C0128,Title_28,Thriller,2022,Series,3.1
C0129,Title_29,Sci-Fi,2020,Movie,4.5
C0130,Title_30,Horror,2022,Series,3.2
C0131,Title_31,Romance,2019,Movie,4.6
C0132,Title_32,Animation,2016,Movie,3.6
C0133,Title_33,Action,2020,Series,4.2
C0134,Title_34,Horror,2019,Series,2.7
C0135,Title_35,Animation,2019,Series,4.1
C0136,Title_36,Family,2015,Series,3.6
C0137,Title_37,Crime,2016,Movie,4.0
C0138,Title_38,Action,2022,Movie,2.9
C0139,Title_39,Drama,2017,Movie,4.3
C0140,Title_40,Thriller,2017,Movie,4.7
C0141,Title_41,Action,2022,Movie,3.0
C0142,Title_42,Documentary,2022,Series,2.7
C0143,Title_43,Animation,2016,Movie,2.6
C0144,Title_44,Drama,2022,Movie,4.1
C0145,Title_45,Documentary,2015,Movie,4.0
C0146,Title_46,Crime,2020,Series,3.9
C0147,Title_47,Documentary,2022,Series,3.1
C0148,Title_48,Romance,2017,Series,3.5
C0149,Title_49,Romance,2022,Series,4.0
C0150,Title_50,Family,2015,Movie,3.7
C0151,Title_51,Sci-Fi,2023,Movie,5.0
C0152,Title_52,Horror,2023,Series,2.8
C0153,Title_53,Horror,2019,Series,4.2
C0154,Title_54,Drama,2018,Movie,3.5
C0155,Title_55,Crime,2020,Movie,3.6
C0156,Title_56,Comedy,2021,Series,4.3
C0157,Title_57,Family,2019,Series,4.2
C0158,Title_58,Romance,2023,Series,5.0
C0159,Title_59,Drama,2017,Series,2.8
C0160,Title_60,Comedy,2021,Movie,2.8
C0161,Title_61,Horror,2019,Movie,4.3
C0162,Title_62,Sci-Fi,2021,Movie,3.9
C0163,Title_63,Documentary,2016,Series,3.2
C0164,Title_64,Romance,2018,Series,2.7
C0165,Title_65,Drama,2016,Movie,2.7
C0166,Title_66,Action,2021,Movie,4.7
C0167,Title_67,Comedy,2016,Movie,3.0
C0168,Title_68,Documentary,2015,Movie,3.3
C0169,Title_69,Romance,2023,Series,3.1
C0170,Title_70,Horror,2015,Movie,3.4
C0171,Title_71,Crime,2022,Movie,2.7
C0172,Title_72,Comedy,2016,Movie,3.8
C0173,Title_73,Horror,2022,Movie,2.7
C0174,Title_74,Romance,2017,Movie,4.5
C0175,Title_75,Comedy,2020,Movie,3.1
C0176,Title_76,Family,2017,Movie,3.9
C0177,Title_77,Documentary,2021,Series,4.7
C0178,Title_78,Romance,2023,Series,4.1
C0179,Title_79,Family,2016,Series,3.8
C0180,Title_80,Animation,2019,Series,3.3
C0181,Title_81,Drama,2020,Movie,3.3
C0182,Title_82,Documentary,2018,Series,4.2
C0183,Title_83,Comedy,2018,Series,5.0
C0184,Title_84,Crime,2018,Movie,4.2
C0185,Title_85,Horror,2016,Movie,3.9
C0186,Title_86,Action,2018,Series,4.3
C0187,Title_87,Horror,2015,Series,3.7
C0188,Title_88,Comedy,2020,Movie,2.7
C0189,Title_89,Horror,2015,Series,3.9
C0190,Title_90,Drama,2020,Movie,4.9
C0191,Title_91,Romance,2015,Movie,2.9
C0192,Title_92,Family,2020,Movie,4.2
C0193,Title_93,Action,2022,Movie,3.0
C0194,Title_94,Thriller,2016,Series,3.8
C0195,Title_95,Comedy,2016,Movie,2.7
C0196,Title_96,Sci-Fi,2018,Movie,3.6
C0197,Title_97,Thriller,2017,Series,4.4
C0198,Title_98,Horror,2018,Movie,3.4
C0199,Title_99,Comedy,2021,Series,4.2
C0200,Title_100,Family,2015,Series,4.5
C0201,Title_101,Animation,2020,Series,4.8
C0202,Title_102,Family,2017,Movie,3.1
C0203,Title_103,Sci-Fi,2021,Series,3.5
C0204,Title_104,Action,2016,Series,2.9
C0205,Title_105,Family,2016,Movie,5.0
C0206,Title_106,Crime,2018,Series,4.8
C0207,Title_107,Animation,2015,Series,3.8
C0208,Title_108,Thriller,2017,Series,4.6
C0209,Title_109,Romance,2023,Series,3.8
C0210,Title_110,Drama,2021,Series,4.1
C0211,Title_111,Crime,2021,Movie,2.7
C0212,Title_112,Animation,2018,Series,4.4
C0213,Title_113,Romance,2016,Series,2.8
C0214,Title_114,Romance,2018,Movie,4.6
C0215,Title_115,Comedy,2020,Movie,4.5
C0216,Title_116,Animation,2017,Movie,4.3
C0217,Title_117,Action,2015,Series,2.6
C0218,Title_118,Horror,2022,Movie,3.3
C0219,Title_119,Sci-Fi,2019,Series,3.2
C0220,Title_120,Sci-Fi,2019,Series,3.4
C0221,Title_121,Thriller,2018,Movie,2.7
C0222,Title_122,Thriller,2020,Movie,4.8
C0223,Title_123,Sci-Fi,2017,Series,3.9
C0224,Title_124,Family,2023,Movie,3.3
C0225,Title_125,Action,2019,Series,3.5
C0226,Title_126,Family,2017,Movie,3.6
C0227,Title_127,Family,2015,Movie,4.0
C0228,Title_128,Drama,2020,Movie,3.8
C0229,Title_129,Documentary,2016,Series,4.8
C0230,Title_130,Horror,2017,Movie,3.7
C0231,Title_131,Drama,2015,Series,5.0
C0232,Title_132,Comedy,2023,Series,4.6
C0233,Title_133,Documentary,2022,Series,3.0
C0234,Title_134,Documentary,2016,Series,4.8
C0235,Title_135,Animation,2022,Movie,2.8
C0236,Title_136,Action,2023,Series,4.5
C0237,Title_137,Action,2015,Series,3.5
C0238,Title_138,Documentary,2019,Movie,4.7
C0239,Title_139,Family,2022,Series,4.7
C0240,Title_140,Animation,2016,Movie,4.5
C0241,Title_141,Horror,2018,Series,4.5
C0242,Title_142,Documentary,2021,Movie,3.3
C0243,Title_143,Crime,2017,Series,2.7
C0244,Title_144,Thriller,2019,Movie,3.5
C0245,Title_145,Thriller,2022,Series,2.9
C0246,Title_146,Drama,2017,Series,4.2
C0247,Title_147,Comedy,2018,Movie,3.4
C0248,Title_148,Thriller,2023,Movie,4.9
C0249,Title_149,Romance,2021,Movie,4.1
C0250,Title_150,Drama,2015,Movie,4.6
C0251,Title_151,Thriller,2018,Series,2.8
C0252,Title_152,Comedy,2018,Series,4.7
C0253,Title_153,Family,2023,Movie,4.8
C0254,Title_154,Family,2020,Series,3.7
C0255,Title_155,Action,2023,Movie,4.0
C0256,Title_156,Action,2020,Movie,4.4
C0257,Title_157,Horror,2020,Series,2.9
C0258,Title_158,Documentary,2019,Series,3.8
C0259,Title_159,Crime,2019,Series,3.5
C0260,Title_160,Action,2016,Series,2.9
C0261,Title_161,Animation,2022,Series,3.4
C0262,Title_162,Thriller,2022,Series,2.7
C0263,Title_163,Animation,2015,Series,2.6
C0264,Title_164,Comedy,2022,Movie,2.8
C0265,Title_165,Action,2019,Movie,4.9
C0266,Title_166,Crime,2016,Movie,3.9
C0267,Title_167,Comedy,2016,Movie,4.9
C0268,Title_168,Romance,2020,Movie,3.6
C0269,Title_169,Romance,2023,Series,3.3
C0270,Title_170,Animation,2015,Movie,3.8
C0271,Title_171,Documentary,2020,Movie,3.6
C0272,Title_172,Drama,2023,Movie,2.8
C0273,Title_173,Documentary,2022,Movie,4.1
C0274,Title_174,Family,2020,Movie,3.0
C0275,Title_175,Horror,2017,Movie,4.0
C0276,Title_176,Documentary,2022,Movie,4.1
C0277,Title_177,Horror,2023,Series,2.9
C0278,Title_178,Horror,2015,Series,2.7
C0279,Title_179,Crime,2023,Movie,4.5
C0280,Title_180,Action,2020,Series,3.6
C0281,Title_181,Crime,2020,Series,2.6
C0282,Title_182,Horror,2018,Series,5.0
C0283,Title_183,Comedy,2015,Series,2.6
C0284,Title_184,Romance,2022,Movie,4.2
C0285,Title_185,Horror,2016,Series,5.0
C0286,Title_186,Crime,2015,Series,3.1
C0287,Title_187,Comedy,2016,Series,2.9
C0288,Title_188,Crime,2015,Movie,2.8
C0289,Title_189,Documentary,2015,Movie,3.3
C0290,Title_190,Thriller,2023,Movie,2.8
C0291,Title_191,Animation,2015,Movie,4.2
C0292,Title_192,Drama,2018,Movie,2.7
C0293,Title_193,Family,2020,Movie,3.8
C0294,Title_194,Crime,2021,Movie,5.0
C0295,Title_195,Drama,2016,Series,4.5
C0296,Title_196,Sci-Fi,2020,Series,4.0
C0297,Title_197,Crime,2021,Series,3.3
C0298,Title_198,Thriller,2016,Movie,4.1
C0299,Title_199,Drama,2016,Movie,3.8
C0300,Title_200,Family,2021,Movie,3.6
C0301,Title_201,Horror,2015,Movie,2.8
C0302,Title_202,Crime,2022,Movie,4.7
C0303,Title_203,Action,2017,Series,3.6
C0304,Title_204,Animation,2020,Series,3.0
C0305,Title_205,Thriller,2023,Movie,3.4
C0306,Title_206,Drama,2020,Movie,3.5
C0307,Title_207,Thriller,2023,Movie,4.6
C0308,Title_208,Comedy,2021,Movie,4.3
C0309,Title_209,Family,2023,Series,4.4
C0310,Title_210,Animation,2016,Movie,2.5
C0311,Title_211,Horror,2022,Movie,3.5
C0312,Title_212,Crime,2022,Movie,3.7
C0313,Title_213,Crime,2016,Movie,2.5
C0314,Title_214,Crime,2018,Series,3.1
C0315,Title_215,Animation,2021,Movie,4.4
C0316,Title_216,Action,2018,Movie,2.8
C0317,Title_217,Sci-Fi,2018,Series,3.8
C0318,Title_218,Romance,2020,Series,3.0
C0319,Title_219,Documentary,2020,Series,2.5
C0320,Title_220,Drama,2017,Movie,3.1
C0321,Title_221,Action,2023,Movie,4.9
C0322,Title_222,Horror,2016,Series,4.5
C0323,Title_223,Drama,2020,Series,4.9
C0324,Title_224,Crime,2021,Series,3.7
C0325,Title_225,Thriller,2023,Series,2.8
C0326,Title_226,Horror,2017,Series,3.9
C0327,Title_227,Drama,2017,Series,3.6
C0328,Title_228,Family,2021,Movie,4.6
C0329,Title_229,Crime,2018,Movie,2.7
C0330,Title_230,Drama,2022,Movie,3.7
C0331,Title_231,Thriller,2021,Series,2.9
C0332,Title_232,Family,2019,Series,3.3
C0333,Title_233,Crime,2021,Series,4.3
C0334,Title_234,Sci-Fi,2017,Series,3.7
C0335,Title_235,Action,2016,Series,3.4
C0336,Title_236,Comedy,2020,Series,3.5
C0337,Title_237,Documentary,2016,Movie,3.6
C0338,Title_238,Animation,2017,Movie,4.5
C0339,Title_239,Documentary,2020,Series,4.7
C0340,Title_240,Horror,2019,Movie,4.9
C0341,Title_241,Documentary,2022,Series,4.5
C0342,Title_242,Crime,2023,Movie,3.3
C0343,Title_243,Sci-Fi,2017,Series,4.2
C0344,Title_244,Comedy,2017,Series,3.6
C0345,Title_245,Action,2017,Movie,3.1
C0346,Title_246,Action,2020,Movie,4.6
C0347,Title_247,Thriller,2015,Series,2.6
C0348,Title_248,Animation,2021,Series,4.8
C0349,Title_249,Drama,2015,Movie,3.7
C0350,Title_250,Sci-Fi,2019,Movie,4.1
C0351,Title_251,Drama,2022,Series,4.1
C0352,Title_252,Comedy,2018,Movie,4.7
C0353,Title_253,Documentary,2019,Series,4.1
C0354,Title_254,Action,2018,Series,4.0
C0355,Title_255,Comedy,2018,Series,2.7
C0356,Title_256,Documentary,2022,Series,3.8
C0357,Title_257,Action,2016,Movie,2.9
C0358,Title_258,Documentary,2015,Movie,4.3
C0359,Title_259,Animation,2017,Movie,3.8
C0360,Title_260,Sci-Fi,2023,Movie,4.2
C0361,Title_261,Family,2018,Movie,2.6
C0362,Title_262,Horror,2019,Movie,2.7
C0363,Title_263,Comedy,2016,Movie,4.3
C0364,Title_264,Comedy,2018,Series,2.7
C0365,Title_265,Family,2016,Movie,2.7
C0366,Title_266,Romance,2016,Movie,2.5
C0367,Title_267,Crime,2018,Series,4.9
C0368,Title_268,Animation,2020,Movie,4.3
C0369,Title_269,Animation,2021,Movie,3.4
C0370,Title_270,Family,2017,Series,3.2
C0371,Title_271,Drama,2017,Movie,3.4
C0372,Title_272,Documentary,2020,Movie,4.4
C0373,Title_273,Crime,2017,Movie,4.2
C0374,Title_274,Sci-Fi,2016,Series,3.0
C0375,Title_275,Sci-Fi,2022,Movie,2.9
C0376,Title_276,Family,2019,Movie,2.7
C0377,Title_277,Animation,2015,Series,4.2
C0378,Title_278,Sci-Fi,2017,Movie,4.4
C0379,Title_279,Romance,2022,Series,3.2
C0380,Title_280,Comedy,2018,Series,2.6
C0381,Title_281,Thriller,2021,Movie,2.7
C0382,Title_282,Horror,2016,Series,4.9
C0383,Title_283,Family,2021,Series,3.2
C0384,Title_284,Drama,2019,Movie,4.4
C0385,Title_285,Documentary,2019,Series,4.1
C0386,Title_286,Horror,2020,Series,3.5
C0387,Title_287,Documentary,2023,Movie,3.0
C0388,Title_288,Action,2020,Movie,2.8
C0389,Title_289,Horror,2022,Movie,4.0
C0390,Title_290,Thriller,2021,Series,4.4
C0391,Title_291,Animation,2023,Movie,4.1
C0392,Title_292,Romance,2018,Series,3.8
C0393,Title_293,Comedy,2016,Series,2.6
C0394,Title_294,Comedy,2021,Series,4.9
C0395,Title_295,Romance,2020,Series,4.5
C0396,Title_296,Crime,2015,Series,3.2
C0397,Title_297,Action,2023,Series,4.9
C0398,Title_298,Documentary,2023,Series,4.0
C0399,Title_299,Thriller,2016,Movie,4.0
C0400,Title_300,Sci-Fi,2017,Movie,4.4
