profile_id,user_id,profile_type,active_hours
P0001,U0103,Adult,Evening
P0002,U0349,Adult,Morning
P0003,U0271,Shared,Morning
P0004,U0107,Shared,Afternoon
P0005,U0072,Adult,Evening
P0006,U0189,Kid,Night
P0007,U0021,Adult,Evening
P0008,U0103,Shared,Afternoon
P0009,U0122,Shared,Afternoon
P0010,U0215,Kid,Evening
P0011,U0331,Shared,Night
P0012,U0088,Adult,Night
P0013,U0373,Kid,Morning
P0014,U0100,Adult,Night
P0015,U0360,Adult,Evening
P0016,U0152,Kid,Afternoon
P0017,U0131,Adult,Morning
P0018,U0150,Shared,Morning
P0019,U0309,Adult,Afternoon
P0020,U0258,Kid,Night
P0021,U0344,Kid,Afternoon
P0022,U0294,Kid,Night
P0023,U0386,Adult,Afternoon
P0024,U0192,Kid,Evening
P0025,U0277,Kid,Night
P0026,U0161,Adult,Evening
P0027,U0314,Shared,Morning
P0028,U0022,Adult,Afternoon
P0029,U0253,Kid,Morning
P0030,U0236,Kid,Morning
P0031,U0345,Adult,Morning
P0032,U0049,Shared,Morning
P0033,U0059,Kid,Afternoon
P0034,U0170,Kid,Morning
P0035,U0188,Kid,Afternoon
P0036,U0271,Adult,Afternoon
P0037,U0190,Kid,Evening
P0038,U0175,Shared,Night
P0039,U0051,Kid,Night
P0040,U0364,Kid,Afternoon
P0041,U0055,Shared,Evening
P0042,U0244,Kid,Afternoon
P0043,U0320,Adult,Afternoon
P0044,U0131,Adult,Afternoon
P0045,U0307,Adult,Evening
P0046,U0135,Shared,Night
P0047,U0021,Kid,Evening
P0048,U0329,Adult,Morning
P0049,U0167,Shared,Evening
P0050,U0274,Kid,Evening
P0051,U0388,Shared,Evening
P0052,U0089,Adult,Evening
P0053,U0316,Adult,Night
P0054,U0014,Adult,Morning
P0055,U0242,Shared,Night
P0056,U0265,Shared,Night
P0057,U0346,Adult,Evening
P0058,U0053,Shared,Afternoon
P0059,U0386,Adult,Afternoon
P0060,U0340,Adult,Night
P0061,U0092,Kid,Night
P0062,U0367,Shared,Evening
P0063,U0264,Adult,Night
P0064,U0035,Adult,Evening
P0065,U0206,Shared,Afternoon
P0066,U0081,Kid,Afternoon
P0067,U0050,Kid,Morning
P0068,U0360,Adult,Afternoon
P0069,U0388,Shared,Night
P0070,U0002,Kid,Afternoon
P0071,U0390,Shared,Evening
P0072,U0054,Shared,Afternoon
P0073,U0106,Adult,Morning
P0074,U0260,Kid,Afternoon
P0075,U0310,Adult,Evening
P0076,U0191,Kid,Evening
P0077,U0218,Kid,Night
P0078,U0044,Kid,Afternoon
P0079,U0162,Kid,Evening
P0080,U0202,Kid,Morning
P0081,U0270,Shared,Night
P0082,U0351,Adult,Morning
P0083,U0304,Shared,Afternoon
P0084,U0271,Kid,Afternoon
P0085,U0215,Adult,Afternoon
P0086,U0252,Kid,Night
P0087,U0190,Adult,Evening
P0088,U0296,Shared,Night
P0089,U0213,Adult,Morning
P0090,U0208,Adult,Night
P0091,U0237,Adult,Morning
P0092,U0338,Adult,Night
P0093,U0367,Adult,Evening
P0094,U0053,Kid,Morning
P0095,U0280,Adult,Afternoon
P0096,U0217,Adult,Afternoon
P0097,U0252,Shared,Night
P0098,U0188,Adult,Afternoon
P0099,U0380,Shared,Morning
P0100,U0041,Kid,Afternoon
P0101,U0157,Adult,Evening
P0102,U0015,Shared,Evening
P0103,U0301,Shared,Night
P0104,U0065,Kid,Morning
P0105,U0345,Adult,Evening
P0106,U0327,Adult,Evening
P0107,U0009,Shared,Morning
P0108,U0344,Adult,Afternoon
P0109,U0129,Shared,Afternoon
P0110,U0136,Adult,Night
P0111,U0063,Shared,Afternoon
P0112,U0139,Adult,Morning
P0113,U0081,Kid,Evening
P0114,U0392,Adult,Afternoon
P0115,U0163,Adult,Night
P0116,U0289,Kid,Afternoon
P0117,U0379,Adult,Morning
P0118,U0261,Kid,Night
P0119,U0231,Adult,Afternoon
P0120,U0041,Shared,Night
P0121,U0028,Shared,Morning
P0122,U0135,Adult,Evening
P0123,U0201,Adult,Morning
P0124,U0328,Adult,Morning
P0125,U0268,Shared,Morning
P0126,U0033,Adult,Morning
P0127,U0048,Shared,Evening
P0128,U0062,Kid,Evening
P0129,U0216,Shared,Night
P0130,U0293,Shared,Afternoon
P0131,U0099,Kid,Evening
P0132,U0172,Shared,Evening
P0133,U0360,Adult,Afternoon
P0134,U0214,Adult,Evening
P0135,U0035,Shared,Morning
P0136,U0227,Adult,Morning
P0137,U0101,Shared,Afternoon
P0138,U0131,Adult,Night
P0139,U0257,Adult,Night
P0140,U0005,Shared,Afternoon
P0141,U0218,Adult,Afternoon
P0142,U0255,Shared,Morning
P0143,U0398,Adult,Night
P0144,U0359,Adult,Evening
P0145,U0283,Kid,Morning
P0146,U0393,Kid,Afternoon
P0147,U0207,Shared,Night
P0148,U0015,Kid,Evening
P0149,U0346,Shared,Evening
P0150,U0042,Kid,Morning
P0151,U0380,Adult,Night
P0152,U0179,Shared,Night
P0153,U0063,Shared,Afternoon
P0154,U0352,Adult,Night
P0155,U0231,Shared,Night
P0156,U0241,Shared,Morning
P0157,U0052,Kid,Night
P0158,U0096,Shared,Evening
P0159,U0388,Adult,Morning
P0160,U0222,Kid,Morning
P0161,U0231,Kid,Afternoon
P0162,U0237,Adult,Night
P0163,U0143,Adult,Afternoon
P0164,U0171,Kid,Evening
P0165,U0029,Shared,Morning
P0166,U0036,Kid,Morning
P0167,U0013,Adult,Morning
P0168,U0160,Kid,Evening
P0169,U0327,Adult,Evening
P0170,U0187,Kid,Afternoon
P0171,U0243,Shared,Afternoon
P0172,U0086,Kid,Afternoon
P0173,U0284,Kid,Night
P0174,U0066,Adult,Morning
P0175,U0170,Adult,Morning
P0176,U0045,Adult,Afternoon
P0177,U0062,Kid,Morning
P0178,U0134,Shared,Afternoon
P0179,U0284,Adult,Night
P0180,U0028,Adult,Night
P0181,U0108,Kid,Evening
P0182,U0044,Adult,Night
P0183,U0340,Shared,Afternoon
P0184,U0286,Shared,Night
P0185,U0331,Adult,Evening
P0186,U0128,Adult,Morning
P0187,U0348,Kid,Afternoon
P0188,U0231,Shared,Morning
P0189,U0190,Shared,Evening
P0190,U0225,Adult,Evening
P0191,U0385,Kid,Evening
P0192,U0377,Shared,Morning
P0193,U0283,Shared,Morning
P0194,U0121,Kid,Morning
P0195,U0116,Kid,Morning
P0196,U0233,Shared,Evening
P0197,U0259,Shared,Evening
P0198,U0359,Kid,Afternoon
P0199,U0198,Shared,Afternoon
P0200,U0137,Adult,Morning
P0201,U0318,Adult,Night
P0202,U0165,Kid,Night
P0203,U0225,Kid,Evening
P0204,U0307,Kid,Evening
P0205,U0234,Adult,Evening
P0206,U0172,Shared,Afternoon
P0207,U0152,Adult,Afternoon
P0208,U0315,Shared,Evening
P0209,U0374,Adult,Evening
P0210,U0160,Shared,Evening
P0211,U0096,Adult,Night
P0212,U0233,Kid,Afternoon
P0213,U0180,Adult,Night
P0214,U0113,Shared,Night
P0215,U0318,Adult,Evening
P0216,U0052,Adult,Evening
P0217,U0268,Adult,Morning
P0218,U0295,Kid,Morning
P0219,U0386,Adult,Night
P0220,U0387,Kid,Afternoon
P0221,U0113,Kid,Evening
P0222,U0101,Adult,Evening
P0223,U0113,Adult,Night
P0224,U0081,Adult,Morning
P0225,U0187,Shared,Afternoon
P0226,U0113,Adult,Morning
P0227,U0002,Kid,Morning
P0228,U0130,Adult,Morning
P0229,U0220,Shared,Morning
P0230,U0054,Adult,Evening
P0231,U0343,Shared,Evening
P0232,U0224,Shared,Morning
P0233,U0225,Adult,Afternoon
P0234,U0385,Kid,Night
P0235,U0126,Shared,Afternoon
P0236,U0130,Adult,Afternoon
P0237,U0053,Adult,Afternoon
P0238,U0172,Kid,Morning
P0239,U0218,Shared,Evening
P0240,U0160,Shared,Afternoon
P0241,U0198,Adult,Morning
P0242,U0247,Adult,Afternoon
P0243,U0324,Kid,Afternoon
P0244,U0203,Kid,Morning
P0245,U0184,Shared,Evening
P0246,U0123,Shared,Evening
P0247,U0255,Adult,Night
P0248,U0294,Shared,Morning
P0249,U0280,Kid,Night
P0250,U0325,Kid,Night
P0251,U0372,Adult,Night
P0252,U0098,Kid,Evening
P0253,U0198,Kid,Morning
P0254,U0395,Kid,Night
P0255,U0240,Kid,Morning
P0256,U0144,Adult,Morning
P0257,U0097,Adult,Evening
P0258,U0201,Shared,Night
P0259,U0124,Kid,Night
P0260,U0187,Shared,Morning
P0261,U0326,Adult,Afternoon
P0262,U0349,Adult,Evening
P0263,U0259,Adult,Evening
P0264,U0148,Adult,Evening
P0265,U0252,Adult,Evening
P0266,U0346,Adult,Night
P0267,U0147,Adult,Night
P0268,U0148,Kid,Afternoon
P0269,U0352,Shared,Evening
P0270,U0199,Adult,Evening
P0271,U0308,Kid,Morning
P0272,U0128,Kid,Night
P0273,U0039,Shared,Evening
P0274,U0338,Adult,Afternoon
P0275,U0360,Shared,Afternoon
P0276,U0129,Adult,Night
P0277,U0267,Kid,Afternoon
P0278,U0151,Kid,Afternoon
P0279,U0298,Kid,Night
P0280,U0099,Kid,Evening
P0281,U0263,Shared,Evening
P0282,U0252,Adult,Afternoon
P0283,U0144,Adult,Afternoon
P0284,U0346,Shared,Evening
P0285,U0112,Adult,Night
P0286,U0060,Kid,Afternoon
P0287,U0369,Adult,Morning
P0288,U0002,Kid,Night
P0289,U0385,Shared,Afternoon
P0290,U0304,Adult,Afternoon
P0291,U0254,Shared,Morning
P0292,U0140,Adult,Morning
P0293,U0037,Kid,Evening
P0294,U0160,Shared,Night
P0295,U0009,Adult,Night
P0296,U0233,Kid,Evening
P0297,U0099,Shared,Night
P0298,U0147,Shared,Night
P0299,U0304,Adult,Night
P0300,U0208,Adult,Night
P0301,U0131,Adult,Night
P0302,U0152,Kid,Morning
P0303,U0054,Adult,Night
P0304,U0120,Shared,Morning
P0305,U0161,Shared,Night
P0306,U0116,Adult,Evening
P0307,U0075,Adult,Afternoon
P0308,U0113,Shared,Morning
P0309,U0104,Kid,Night
P0310,U0340,Adult,Evening
P0311,U0254,Adult,Afternoon
P0312,U0227,Shared,Morning
P0313,U0112,Adult,Afternoon
P0314,U0099,Kid,Evening
P0315,U0153,Shared,Morning
P0316,U0349,Adult,Afternoon
P0317,U0384,Shared,Night
P0318,U0366,Adult,Morning
P0319,U0338,Adult,Afternoon
P0320,U0194,Adult,Evening
P0321,U0310,Kid,Evening
P0322,U0163,Kid,Morning
P0323,U0208,Shared,Afternoon
P0324,U0169,Adult,Morning
P0325,U0161,Adult,Morning
P0326,U0068,Kid,Afternoon
P0327,U0289,Adult,Afternoon
P0328,U0398,Kid,Night
P0329,U0277,Adult,Afternoon
P0330,U0304,Shared,Evening
P0331,U0384,Adult,Morning
P0332,U0392,Adult,Morning
P0333,U0135,Kid,Evening
P0334,U0195,Adult,Afternoon
P0335,U0128,Adult,Evening
P0336,U0033,Kid,Evening
P0337,U0176,Shared,Night
P0338,U0371,Shared,Evening
P0339,U0375,Kid,Morning
P0340,U0022,Kid,Evening
P0341,U0238,Kid,Morning
P0342,U0158,Kid,Morning
P0343,U0038,Kid,Morning
P0344,U0230,Shared,Afternoon
P0345,U0365,Shared,Night
P0346,U0051,Kid,Morning
P0347,U0264,Adult,Morning
P0348,U0283,Kid,Afternoon
P0349,U0027,Adult,Morning
P0350,U0226,Kid,Evening
P0351,U0277,Kid,Evening
P0352,U0286,Shared,Night
