watch_id,profile_id,content_id,watch_duration_min,completion_rate_percent,device,timestamp
W00001,P0041,C0281,48,60,Mobile,2024-02-01 21:51:00
W00002,P0453,C0294,125,21,Tablet,2024-05-03 20:49:00
W00003,P0208,C0292,146,19,Tablet,2024-01-11 08:41:00
W00004,P0060,C0167,95,46,Mobile,2024-01-15 04:32:00
W00005,P0365,C0309,61,75,Tablet,2024-05-25 03:02:00
W00006,P0240,C0267,52,76,Tablet,2024-02-28 14:05:00
W00007,P0096,C0346,149,23,Tablet,2024-05-03 16:24:00
W00008,P0278,C0345,48,56,Mobile,2024-04-23 13:09:00
W00009,P0427,C0266,136,29,TV,2024-02-01 11:25:00
W00010,P0160,C0396,85,61,Laptop,2024-04-22 14:47:00
W00011,P0397,C0311,101,77,TV,2024-05-28 02:01:00
W00012,P0422,C0233,34,35,Mobile,2024-02-01 20:45:00
W00013,P0282,C0297,125,56,Laptop,2024-04-28 00:38:00
W00014,P0500,C0149,89,88,Mobile,2024-01-12 20:56:00
W00015,P0209,C0164,88,82,TV,2024-01-18 02:28:00
W00016,P0133,C0212,102,12,Mobile,2024-05-20 17:01:00
W00017,P0381,C0285,96,11,Tablet,2024-05-28 05:01:00
W00018,P0433,C0204,77,50,Tablet,2024-04-13 03:57:00
W00019,P0097,C0313,35,39,TV,2024-05-14 11:02:00
W00020,P0219,C0105,113,46,Tablet,2024-03-26 11:01:00
W00021,P0389,C0219,20,90,TV,2024-03-29 08:53:00
W00022,P0485,C0349,99,12,Mobile,2024-04-01 12:49:00
W00023,P0071,C0267,81,18,Mobile,2024-01-29 03:32:00
W00024,P0432,C0342,146,17,TV,2024-01-27 23:50:00
W00025,P0274,C0380,6,18,Laptop,2024-03-28 17:47:00
W00026,P0351,C0338,144,26,TV,2024-01-22 07:00:00
W00027,P0134,C0305,132,33,Laptop,2024-04-06 11:35:00
W00028,P0066,C0101,96,81,TV,2024-01-03 11:42:00
W00029,P0127,C0271,28,23,Mobile,2024-04-27 00:18:00
W00030,P0205,C0267,41,63,Tablet,2024-01-23 06:52:00
W00031,P0298,C0358,33,89,TV,2024-01-30 01:47:00
W00032,P0117,C0163,46,27,Laptop,2024-04-20 21:44:00
W00033,P0436,C0372,22,97,Tablet,2024-05-07 20:52:00
W00034,P0267,C0137,135,48,Laptop,2024-04-20 02:15:00
W00035,P0282,C0116,17,56,Laptop,2024-04-15 20:09:00
W00036,P0149,C0354,110,36,Laptop,2024-05-23 02:08:00
W00037,P0194,C0127,63,80,Laptop,2024-04-17 21:24:00
W00038,P0168,C0211,96,100,TV,2024-01-03 07:28:00
W00039,P0312,C0333,8,43,Tablet,2024-05-11 18:47:00
W00040,P0374,C0164,55,28,Tablet,2024-03-04 14:33:00
W00041,P0179,C0197,137,15,Tablet,2024-04-07 07:52:00
W00042,P0148,C0367,45,39,Tablet,2024-01-10 23:48:00
W00043,P0465,C0332,9,21,Mobile,2024-05-07 05:01:00
W00044,P0464,C0148,140,24,Mobile,2024-03-06 15:36:00
W00045,P0057,C0310,95,48,TV,2024-04-21 17:16:00
W00046,P0490,C0176,56,73,Tablet,2024-05-16 08:19:00
W00047,P0005,C0347,139,73,Mobile,2024-03-26 03:53:00
W00048,P0014,C0168,51,24,Tablet,2024-03-30 05:13:00
W00049,P0280,C0164,131,67,TV,2024-02-23 17:15:00
W00050,P0499,C0282,86,76,Laptop,2024-01-14 23:20:00
W00051,P0324,C0180,70,10,TV,2024-01-20 09:46:00
W00052,P0436,C0303,137,16,Mobile,2024-05-23 16:54:00
W00053,P0304,C0282,65,18,Mobile,2024-03-10 20:34:00
W00054,P0216,C0314,54,10,Mobile,2024-04-10 11:37:00
W00055,P0175,C0220,132,14,TV,2024-05-11 23:24:00
W00056,P0316,C0341,67,56,TV,2024-05-11 17:23:00
W00057,P0457,C0302,144,19,TV,2024-05-17 08:55:00
W00058,P0003,C0392,107,11,Tablet,2024-02-06 13:41:00
W00059,P0375,C0154,13,32,Mobile,2024-04-12 06:44:00
W00060,P0137,C0245,83,65,TV,2024-02-07 15:41:00
W00061,P0466,C0186,91,28,TV,2024-01-04 03:07:00
W00062,P0100,C0122,113,47,Tablet,2024-02-26 15:40:00
W00063,P0083,C0392,26,56,Mobile,2024-01-20 04:32:00
W00064,P0280,C0336,40,93,Laptop,2024-04-28 09:42:00
W00065,P0132,C0129,78,85,Laptop,2024-01-04 20:44:00
W00066,P0393,C0283,60,84,Mobile,2024-01-14 05:35:00
W00067,P0481,C0260,103,61,Tablet,2024-02-24 08:19:00
W00068,P0001,C0118,9,58,Mobile,2024-05-11 12:45:00
W00069,P0116,C0138,8,80,Laptop,2024-01-24 02:41:00
W00070,P0499,C0201,19,32,TV,2024-03-22 02:38:00
W00071,P0419,C0390,30,59,Mobile,2024-02-29 15:14:00
W00072,P0202,C0273,27,26,Laptop,2024-02-18 22:22:00
W00073,P0140,C0167,129,57,TV,2024-04-19 03:30:00
W00074,P0146,C0291,107,11,Mobile,2024-05-29 11:03:00
W00075,P0462,C0143,33,78,Tablet,2024-04-18 18:19:00
W00076,P0266,C0223,90,71,Laptop,2024-01-30 22:17:00
W00077,P0202,C0378,61,94,TV,2024-04-26 15:26:00
W00078,P0402,C0296,66,22,TV,2024-04-09 00:18:00
W00079,P0152,C0225,52,70,Tablet,2024-04-03 03:02:00
W00080,P0385,C0196,115,20,Laptop,2024-04-22 20:06:00
W00081,P0222,C0257,39,97,TV,2024-05-25 13:50:00
W00082,P0079,C0140,50,36,Tablet,2024-04-25 18:56:00
W00083,P0200,C0273,37,44,Laptop,2024-02-16 16:10:00
W00084,P0250,C0273,75,27,Tablet,2024-02-26 16:59:00
W00085,P0099,C0220,14,94,Tablet,2024-04-27 02:40:00
W00086,P0466,C0373,48,77,Tablet,2024-05-24 03:17:00
W00087,P0489,C0361,130,70,Tablet,2024-01-04 10:59:00
W00088,P0400,C0381,118,50,Laptop,2024-02-16 06:38:00
W00089,P0213,C0224,127,52,Tablet,2024-02-16 01:17:00
